,Country,year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP/Capita,Energy Usage/Capita,CO2 Emissions/Capita,Life Expectancy Combined,tsne_2
0,Afghanistan,2006.0,0.04315384615384616,2.643610080108423,7.421776505481889,2.150161698608384,15.831559663807422,14.643943567204094,0.09146153846153847,3.1441856370767587,7.422291114912807,0.08276923076923078,0.015384615384615385,0.10200386443000543,58.76923076923077,56.38461538461539,0.21538461538461537,0.4903076923076923,0.4887692307692308,0.02076923076923077,30.631212308570202,0.23292307692307693,25.617364453493863,16.661154878466437,5.711766864357518,0.0007733776680542947,0.00011738566207540161,57.57692307692308,0
1,Albania,2006.0,0.014692307692307692,2.78613248898141,7.580194855306051,3.1426963520284827,10.876572191092094,14.632872280787193,0.06146153846153846,4.6230535555832954,7.90620143776142,0.01776923076923077,0.19230769230769232,0.09217063760229907,79.23076923076923,73.0,0.5615384615384615,0.2583846153846154,0.6536923076923078,0.08792307692307692,24.732297745587015,0.4785384615384615,31.47480295588321,18.93926287933755,7.790908822709298,0.0006743030219129686,0.0012260021007051186,76.11538461538461,4
2,Algeria,2006.0,0.02207692307692308,2.9864251637300328,10.228670286050088,3.0721209179790385,17.196331431801166,15.559080857797769,0.038461538461538464,4.435818551067061,8.282461084544382,0.02776923076923077,0.06923076923076923,0.06371925770036709,71.61538461538461,68.38461538461539,0.49230769230769234,0.2926923076923077,0.6630769230769231,0.044230769230769226,31.56075268251623,0.6451538461538462,28.434433827210075,18.268807270333003,7.880940073030054,0.0009586897850386709,0.002479699606803753,70.0,4
3,American Samoa,2006.0,0.020615384615384615,2.8935365846555725,5.954847426497748,2.77285856319663,4.608000447310462,13.936453548731594,0.13592307692307687,5.648857273341397,6.377366882334257,0.027092153846153745,0.573076923076923,0.07039879282782223,72.13076923076923,67.26923076923077,0.0,0.3117823787863472,0.6293139474755579,0.0589036737380949,15.799530548487185,0.88,28.862536649795608,17.227428118691567,9.8018265229853,0.0007904617368226112,0.005478493130557277,69.7,2
4,Andorra,2006.0,0.01053846153846154,2.847896284816997,5.872276419818794,3.832740537685548,14.518436823924823,14.173440786486273,0.06323076923076923,6.646508915340022,7.277770247053778,0.003,0.4846153846153846,0.10586372273220013,82.1,75.9,0.7,0.3117823787863472,0.6293139474755579,0.0589036737380949,16.378887984455083,0.8974615384615384,30.348860102076507,17.316305509542776,10.069152666116983,0.015023604031410114,0.004485891805362834,79.0,3
5,Angola,2006.0,0.04830769230769231,2.819512338186089,8.945035985337418,4.238856189882749,14.350376809402448,15.264117573998377,0.041692307692307695,4.235000558850837,7.418013678452522,0.11815384615384615,0.038461538461538464,0.1545633521432555,50.15384615384615,47.38461538461539,0.23076923076923078,0.4775384615384616,0.49815384615384617,0.02446153846153846,29.503854647962125,0.3698461538461538,28.465167998758677,17.71076584226532,7.68379911615295,0.0005949656691290022,0.001086275159432219,48.76923076923077,0
6,Antigua and Barbuda,2006.0,0.018384615384615385,2.7719520531636435,5.688013258302462,3.0928861714302083,6.218540515930895,13.786785775571348,0.04630769230769231,5.585961486177524,6.830405736552508,0.010461538461538463,0.3076923076923077,0.07875006361530669,77.07692307692308,72.15384615384616,1.1153846153846154,0.27676923076923077,0.6513076923076924,0.07184615384615384,16.55310364034037,0.2863076923076923,28.66822226068244,16.294113307731592,9.11135026591837,0.0015943735780791827,0.0036898756427328236,74.61538461538461,2
7,Argentina,2006.0,0.017615384615384616,3.1426325925295155,10.55934171137992,3.4666883959817203,19.016104135080585,15.901220215425376,0.08492307692307693,5.601147793360778,8.264151212363153,0.015000000000000001,0.2692307692307692,0.10108145714080277,78.76923076923077,71.23076923076923,0.8153846153846154,0.2606153846153846,0.6357692307692309,0.10323076923076924,31.905953675609677,0.9023846153846153,34.19810636236608,20.272912834825025,8.7573428420819,0.001680143824826113,0.003162114584433359,75.0,4
8,Armenia,2006.0,0.013769230769230768,2.6607691707663177,7.612272399584567,2.671218097453658,11.21592335920787,14.506681138172455,0.04923076923076923,4.1693142153140235,8.668029760508107,0.020153846153846154,0.12307692307692308,0.11179155049474139,76.76923076923077,69.92307692307692,0.4538461538461539,0.2213846153846154,0.6696153846153846,0.10892307692307691,24.77564496256148,0.6403076923076922,28.425241591339564,17.9024605208895,7.456207011109612,0.0007837234998815645,0.0012486895645230655,73.34615384615384,4
9,Aruba,2006.0,0.012076923076923077,2.7637249833022404,7.117955695386506,3.5406372114299267,15.838274264946703,14.112908850765672,0.0527153846153846,6.514275671088228,7.479151476719165,0.013476153846153823,0.38461538461538464,0.07893483560990856,76.84615384615384,72.0,0.9846153846153847,0.21515384615384617,0.6939999999999998,0.0906923076923077,16.899766537335847,0.4451538461538461,31.366090683214598,17.732530050661076,9.703564803897025,0.015025394494088299,0.0069654269618520705,74.42307692307692,3
10,Australia,2006.0,0.013384615384615384,2.8023982581621483,11.170226029199215,1.3518613705671028,20.4304235070164,16.183214858626407,0.0863076923076923,6.935123495466628,5.899739186670783,0.004615384615384615,0.6615384615384615,0.0632308669364613,83.38461538461539,78.61538461538461,0.8461538461538461,0.19646153846153844,0.673,0.13046153846153846,30.04674324898588,0.8813076923076923,38.30282775097662,21.343917976541825,10.160702799127021,0.0046740947870405804,0.006600823169396429,81.0,1
